iter	Passed	Remaining
0	190	18822
1	542	26604
2	879	28422
3	1169	28057
4	1513	28749
5	1808	28339
6	2084	27688
7	2427	27911
8	2723	27535
9	2748	24734
10	2796	22622
11	3115	22847
12	3417	22873
13	3700	22729
14	4005	22695
15	4352	22850
16	4677	22835
17	4996	22761
18	5330	22724
19	5659	22636
20	5947	22374
21	6253	22170
22	6587	22052
23	6904	21863
24	7246	21740
25	7569	21543
26	7895	21346
27	8213	21120
28	8539	20906
29	8839	20624
30	9157	20382
31	9487	20160
32	9785	19867
33	10096	19599
34	10450	19407
35	10816	19228
36	11166	19012
37	11502	18767
38	11825	18495
39	12109	18163
40	12437	17898
41	12736	17587
42	12760	16915
43	13128	16709
44	13440	16426
45	13754	16146
46	14082	15879
47	14361	15557
48	14709	15309
49	14813	14813
50	15230	14632
51	15556	14359
52	15876	14079
53	15953	13590
54	16288	13327
55	16622	13060
56	16926	12769
57	17237	12482
58	17536	12186
59	17833	11889
60	18160	11610
61	18500	11338
62	18842	11065
63	18962	10666
64	18970	10214
65	19356	9971
66	19637	9672
67	19973	9399
68	20262	9103
69	20574	8817
70	20919	8544
71	21250	8264
72	21572	7978
73	21620	7596
74	21986	7328
75	22336	7053
76	22686	6776
77	22976	6480
78	23278	6187
79	23544	5886
80	23874	5600
81	23881	5242
82	24162	4948
83	24457	4658
84	24719	4362
85	25069	4081
86	25374	3791
87	25401	3463
88	25450	3145
89	25825	2869
90	26121	2583
91	26468	2301
92	26748	2013
93	27065	1727
